fourletter_code,english_name,scientific_name
ABTO,Abert's Towhee,Melozone aberti
ACFL,Acadian Flycatcher,Empidonax virescens
ACWO,Acorn Woodpecker,Melanerpes formicivorus
ADWA,Adelaide's Warbler,Setophaga adelaidae
AFCD,African Collared-Dove,Streptopelia roseogrisea
AFSI,African Silverbill,Euodice cantans
AGHE,Agami Heron,Agamia agami
AISP,Ainley's Storm-Petrel,Hydrobates cheimomnestes
AKEK,Akekee,Loxops caeruleirostris
AKIA,Akiapolaau,Hemignathus wilsoni
AKIK,Akikiki,Oreomystis bairdi
AKOH,Akohekohe,Palmeria dolei
ALFL,Alder Flycatcher,Empidonax alnorum
ALTE,Aleutian Tern,Onychoprion aleuticus
ALHU,Allen's Hummingbird,Selasphorus sasin
ALSW,Alpine Swift,Apus melba
ALOR,Altamira Oriole,Icterus gularis
ALYE,Altamira Yellowthroat,Geothlypis flavovelata
AMAU,Amaui,Myadestes woahensis
AMKI,Amazon Kingfisher,Chloroceryle amazona
AMAV,American Avocet,Recurvirostra americana
AMBI,American Bittern,Botaurus lentiginosus
ABDU,American Black Duck,Anas rubripes
AMCO,American Coot,Fulica americana
AMCR,American Crow,Corvus brachyrhynchos
AMDI,American Dipper,Cinclus mexicanus
AMFL,American Flamingo,Phoenicopterus ruber
AMGP,American Golden-Plover,Pluvialis dominica
AMGO,American Goldfinch,Spinus tristis
AMKE,American Kestrel,Falco sparverius
AMOY,American Oystercatcher,Haematopus palliatus
AMPI,American Pipit,Anthus rubescens
APKI,American Pygmy Kingfisher,Chloroceryle aenea
AMRE,American Redstart,Setophaga ruticilla
AMRO,American Robin,Turdus migratorius
ATTW,American Three-toed Woodpecker,Picoides dorsalis
ATSP,American Tree Sparrow,Spizelloides arborea
AWPE,American White Pelican,Pelecanus erythrorhynchos
AMWI,American Wigeon,Mareca americana
AMWO,American Woodcock,Scolopax minor
ATMG,Amethyst-throated Mountain-gem,Lampornis amethystinus
ANMU,Ancient Murrelet,Synthliboramphus antiquus
ANHI,Anhinga,Anhinga anhinga
ANIA,Anianiau,Magumma parva
ANHU,Anna's Hummingbird,Calypte anna
ANCH,Antillean Crested Hummingbird,Orthorhyncus cristatus
ANEU,Antillean Euphonia,Euphonia musica
ANMA,Antillean Mango,Anthracothorax dominicus
ANNI,Antillean Nighthawk,Chordeiles gundlachii
ANPS,Antillean Palm-Swift,Tachornis phoenicobia
ANPI,Antillean Piculet,Nesoctites micromegas
ANSI,Antillean Siskin,Spinus dominicensis
APAP,Apapane,Himatione sanguinea
APFA,Aplomado Falcon,Falco femoralis
ARLO,Arctic Loon,Gavia arctica
ARTE,Arctic Tern,Sterna paradisaea
ARWA,Arctic Warbler,Phylloscopus borealis
ARWO,Arizona Woodpecker,Dryobates arizonae
ARRW,Arrowhead Warbler,Setophaga pharetra
ATFL,Ash-throated Flycatcher,Myiarchus cinerascens
ASSP,Ashy Storm-Petrel,Hydrobates homochroa
AFOW,Ashy-faced Owl,Tyto glaucops
ATCH,Ashy-throated Chlorospingus,Chlorospingus canigularis
ABFL,Asian Brown Flycatcher,Muscicapa dauurica
ASRF,Asian Rosy-Finch,Leucosticte arctoa
ATGR,Atitlan Grebe,Podilymbus gigas
ATPU,Atlantic Puffin,Fratercula arctica
AUOR,Audubon's Oriole,Icterus graduacauda
AUSH,Audubon's Shearwater,Puffinus lherminieri
AZRA,Aztec Rail,Rallus tenuirostris
AZTH,Aztec Thrush,Ridgwayia pinicola
AZGA,Azure Gallinule,Porphyrio flavirostris
AZCH,Azure-crowned Hummingbird,Amazilia cyanocephala
AHJA,Azure-hooded Jay,Cyanolyca cucullata
ARTA,Azure-rumped Tanager,Poecilostreptus cabanisi
BACS,Bachman's Sparrow,Peucaea aestivalis
BAWA,Bachman's Warbler,Vermivora bachmanii
BAMO,Bahama Mockingbird,Mimus gundlachii
BAHO,Bahama Oriole,Icterus northropi
BAHS,Bahama Swallow,Tachycineta cyaneoviridis
BAHW,Bahama Warbler,Setophaga flavescens
BAWO,Bahama Woodstar,Nesophlox evelynae
BAYE,Bahama Yellowthroat,Geothlypis rostrata
BATE,Baikal Teal,Sibirionetta formosa
BAJU,Baird's Junco,Junco bairdi
BASA,Baird's Sandpiper,Calidris bairdii
BAIS,Baird's Sparrow,Centronyx bairdii
BATR,Baird's Trogon,Trogon bairdii
BAEA,Bald Eagle,Haliaeetus leucocephalus
BASO,Balsas Screech-Owl,Megascops seductus
BAOR,Baltimore Oriole,Icterus galbula
BANA,Bananaquit,Coereba flaveola
BABW,Band-backed Wren,Campylorhynchus zonatus
BSTP,Band-rumped Storm-Petrel,Hydrobates castro
BRSW,Band-rumped Swift,Chaetura spinicaudus
BTBA,Band-tailed Barbthroat,Threnetes ruckeri
BTPI,Band-tailed Pigeon,Patagioenas fasciata
BAQU,Banded Quail,Philortyx fasciatus
BANW,Banded Wren,Thryophilus pleurostictus
BANS,Bank Swallow,Riparia riparia
BTGO,Bar-tailed Godwit,Limosa lapponica
BWOR,Bar-winged Oriole,Icterus maculialatus
BABU,Barbados Bullfinch,Loxigilla barbadensis
BARW,Barbuda Warbler,Setophaga subita
BACA,Bare-crowned Antbird,Gymnocichla nudiceps
BLOW,Bare-legged Owl,Margarobyas lawrencii
BNUM,Bare-necked Umbrellabird,Cephalopterus glabricollis
BSSO,Bare-shanked Screech-Owl,Megascops clarkii
BTTH,Bare-throated Tiger-Heron,Tigrisoma mexicanum
BANO,Barn Owl,Tyto alba
BARS,Barn Swallow,Hirundo rustica
BARG,Barnacle Goose,Branta leucopsis
BASH,Barolo Shearwater,Puffinus baroli
BAAN,Barred Antshrike,Thamnophilus doliatus
BABE,Barred Becard,Pachyramphus versicolor
BAFF,Barred Forest-Falcon,Micrastur ruficollis
BAHA,Barred Hawk,Morphnarchus princeps
BADO,Barred Owl,Strix varia
BAPA,Barred Parakeet,Bolborhynchus lineola
BAPU,Barred Puffbird,Nystalus radiatus
BAGO,Barrow's Goldeneye,Bucephala islandica
BAFA,Bat Falcon,Falco rufigularis
BAYW,Bay Wren,Cantorchilus nigricapillus
BBRC,Bay-breasted Cuckoo,Coccyzus rufigularis
BBWA,Bay-breasted Warbler,Setophaga castanea
BHTA,Bay-headed Tanager,Tangara gyrola
BESO,Bearded Screech-Owl,Megascops barbarus
BEWP,Bearded Wood-Partridge,Dendrortyx barbatus
BEAH,Beautiful Hummingbird,Calothorax pulcher
BETR,Beautiful Treerunner,Margarornis bellulus
BEEH,Bee Hummingbird,Mellisuga helenae
BEGU,Belcher's Gull,Larus belcheri
BEYE,Belding's Yellowthroat,Geothlypis beldingi
BESP,Bell's Sparrow,Artemisiospiza belli
BEVI,Bell's Vireo,Vireo bellii
BEFL,Belted Flycatcher,Xenotriccus callizonus
BEKI,Belted Kingfisher,Megaceryle alcyon
BETH,Bendire's Thrasher,Toxostoma bendirei
BEPE,Bermuda Petrel,Pterodroma cahow
BEHU,Berylline Hummingbird,Amazilia beryllina
BEWR,Bewick's Wren,Thryomanes bewickii
BITH,Bicknell's Thrush,Catharus bicknelli
BIAN,Bicolored Antbird,Gymnopithys bicolor
BIHA,Bicolored Hawk,Accipiter bicolor
BIWR,Bicolored Wren,Campylorhynchus griseus
BIOO,Bishop's Oo,Moho bishopi
BLAN,Black Antshrike,Thamnophilus nigriceps
BLCA,Black Catbird,Melanoptila glabrirostris
BLFR,Black Francolin,Francolinus francolinus
BLAG,Black Guan,Chamaepetes unicolor
BLGU,Black Guillemot,Cepphus grylle
BLHE,Black Hawk-Eagle,Spizaetus tyrannus
BLAK,Black Kite,Milvus migrans
BLMA,Black Mamo,Drepanis funerea
BLNO,Black Noddy,Anous minutus
BLOR,Black Oropendola,Psarocolius guatimozinus
BLOY,Black Oystercatcher,Haematopus bachmani
BLPH,Black Phoebe,Sayornis nigricans
BLRA,Black Rail,Laterallus jamaicensis
BLRF,Black Rosy-Finch,Leucosticte atrata
BLSC,Black Scoter,Melanitta americana
BLSK,Black Skimmer,Rynchops niger
BLSP,Black Storm-Petrel,Hydrobates melania
BLSW,Black Swift,Cypseloides niger
BLTE,Black Tern,Chlidonias niger
BLTH,Black Thrush,Turdus infuscatus
BLTU,Black Turnstone,Arenaria melanocephala
BLVU,Black Vulture,Coragyps atratus
BAWB,Black-and-white Becard,Pachyramphus albogriseus
BAWH,Black-and-white Hawk-Eagle,Spizaetus melanoleucus
BLWO,Black-and-white Owl,Ciccaba nigrolineata
BAWW,Black-and-white Warbler,Mniotilta varia
BAYS,Black-and-yellow Silky-flycatcher,Phainoptila melanoxantha
BAYT,Black-and-yellow Tanager,Chrysothlypis chrysomelas
BBOR,Black-backed Oriole,Icterus abeillei
BBWO,Black-backed Woodpecker,Picoides arcticus
BBNW,Black-banded Woodcreeper,Dendrocolaptes picumnus
BLBH,Black-bellied Hummingbird,Eupherusa nigriventris
BBPL,Black-bellied Plover,Pluvialis squatarola
BBSP,Black-bellied Storm-Petrel,Fregetta tropica
BBWD,Black-bellied Whistling-Duck,Dendrocygna autumnalis
BBEW,Black-bellied Wren,Pheugopedius fasciatoventris
BBCU,Black-billed Cuckoo,Coccyzus erythropthalmus
BLBF,Black-billed Flycatcher,Aphanotriccus audax
BBMA,Black-billed Magpie,Pica hudsonia
BBNT,Black-billed Nightingale-Thrush,Catharus gracilirostris
BBPA,Black-billed Parrot,Amazona agilis
BBPU,Black-breasted Puffbird,Notharchus pectoralis
BBWQ,Black-breasted Wood-Quail,Odontophorus leucolaemus
BBAL,Black-browed Albatross,Thalassarche melanophris
BCCH,Black-capped Chickadee,Poecile atricapillus
BCDO,Black-capped Donacobius,Donacobius atricapilla
BCAF,Black-capped Flycatcher,Empidonax atriceps
BCGN,Black-capped Gnatcatcher,Polioptila nigriceps
BCPE,Black-capped Petrel,Pterodroma hasitata
BPYT,Black-capped Pygmy-Tyrant,Myiornis atricapillus
BCSI,Black-capped Siskin,Spinus atriceps
BCSW,Black-capped Swallow,Atticora pileata
BCVI,Black-capped Vireo,Vireo atricapilla
BCAT,Black-cheeked Ant-Tanager,Habia atrimaxillaris
BCWA,Black-cheeked Warbler,Basileuterus melanogenys
BCWO,Black-cheeked Woodpecker,Melanerpes pucherani
BCHJ,Black-chested Jay,Cyanocorax affinis
BCHS,Black-chested Sparrow,Peucaea humeralis
BCHU,Black-chinned Hummingbird,Archilochus alexandri
BCSP,Black-chinned Sparrow,Spizella atrogularis
BCHA,Black-collared Hawk,Busarellus nigricollis
BCOR,Black-cowled Oriole,Icterus prosthemelas
BCCO,Black-crested Coquette,Lophornis helenae
BCTI,Black-crested Titmouse,Baeolophus atricristatus
BCAP,Black-crowned Antpitta,Pittasoma michleri
BCAS,Black-crowned Antshrike,Thamnophilus atrinucha
BCNH,Black-crowned Night-Heron,Nycticorax nycticorax
BPLT,Black-crowned Palm-Tanager,Phaenicophilus palmarum
BCRT,Black-crowned Tityra,Tityra inquisitor
BEWQ,Black-eared Wood-Quail,Odontophorus melanotis
BFAN,Black-faced Antthrush,Formicarius analis
BFGR,Black-faced Grassquit,Melanospiza bicolor
BFAG,Black-faced Grosbeak,Caryothraustes poliogaster
BFSO,Black-faced Solitaire,Myadestes melanops
BFAL,Black-footed Albatross,Phoebastria nigripes
BHEA,Black-headed Antthrush,Formicarius nigricapillus
BHBR,Black-headed Brushfinch,Arremon atricapillus
BHGR,Black-headed Grosbeak,Pheucticus melanocephalus
BHGU,Black-headed Gull,Chroicocephalus ridibundus
BHNT,Black-headed Nightingale-Thrush,Catharus mexicanus
BHSA,Black-headed Saltator,Saltator atriceps
BHSI,Black-headed Siskin,Spinus notatus
BHTF,Black-headed Tody-Flycatcher,Todirostrum nigriceps
BHTR,Black-headed Trogon,Trogon melanocephalus
BHOA,Black-hooded Antshrike,Thamnophilus bridgesi
BLKI,Black-legged Kittiwake,Rissa tridactyla
BNST,Black-necked Stilt,Himantopus mexicanus
BPYE,Black-polled Yellowthroat,Geothlypis speciosa
BRUW,Black-rumped Waxbill,Estrilda troglodytes
BSTS,Black-striped Sparrow,Arremonops conirostris
BSWO,Black-striped Woodcreeper,Xiphorhynchus lachrymosus
BTFL,Black-tailed Flycatcher,Myiobius atricaudus
BTGN,Black-tailed Gnatcatcher,Polioptila melanura
BLTG,Black-tailed Godwit,Limosa limosa
BTGU,Black-tailed Gull,Larus crassirostris
BTAT,Black-tailed Trogon,Trogon melanurus
BTGG,Black-thighed Grosbeak,Pheucticus tibialis
BTBW,Black-throated Blue Warbler,Setophaga caerulescens
BTBO,Black-throated Bobwhite,Colinus nigrogularis
BTYW,Black-throated Gray Warbler,Setophaga nigrescens
BTNW,Black-throated Green Warbler,Setophaga virens
BTJA,Black-throated Jay,Cyanolyca pumilo
BTMJ,Black-throated Magpie-Jay,Calocitta colliei
BTMA,Black-throated Mango,Anthracothorax nigricollis
BTST,Black-throated Shrike-Tanager,Lanio aurantius
BTSP,Black-throated Sparrow,Amphispiza bilineata
BTHT,Black-throated Trogon,Trogon rufus
BTWR,Black-throated Wren,Pheugopedius atrogularis
BTCO,Black-tipped Cotinga,Carpodectes hopkei
BVOR,Black-vented Oriole,Icterus wagleri
BVSH,Black-vented Shearwater,Puffinus opisthomelas
BWVI,Black-whiskered Vireo,Vireo altiloquus
BWPE,Black-winged Petrel,Pterodroma nigripennis
BWST,Black-winged Stilt,Himantopus himantopus
BLBW,Blackburnian Warbler,Setophaga fusca
BLPW,Blackpoll Warbler,Setophaga striata
BLBU,Blue Bunting,Cyanocompsa parellina
BLCO,Blue Cotinga,Cotinga nattererii
BLDA,Blue Dacnis,Dacnis cayana
BLGR,Blue Grosbeak,Passerina caerulea
BGDO,Blue Ground Dove,Claravis pretiosa
BLJA,Blue Jay,Cyanocitta cristata
BLMO,Blue Mockingbird,Melanotis caerulescens
BMVI,Blue Mountain Vireo,Vireo osburni
BLSE,Blue Seedeater,Amaurospiza concolor
BAGT,Blue-and-gold Tanager,Bangsia arcaei
BAWM,Blue-and-white Mockingbird,Melanotis hypoleucus
BAWS,Blue-and-white Swallow,Pygochelidon cyanoleuca
BAYM,Blue-and-yellow Macaw,Ara ararauna
BGRA,Blue-black Grassquit,Volatinia jacarina
BGRO,Blue-black Grosbeak,Cyanoloxia cyanoides
BCAH,Blue-capped Hummingbird,Eupherusa cyanophrys
BCMO,Blue-capped Motmot,Momotus coeruliceps
BCHH,Blue-chested Hummingbird,Amazilia amabilis
BCRC,Blue-crowned Chlorophonia,Chlorophonia occipitalis
BCRM,Blue-crowned Manakin,Lepidothrix coronata
BFBO,Blue-footed Booby,Sula nebouxii
BFPA,Blue-fronted Parrotlet,Touit dilectissimus
BGGN,Blue-gray Gnatcatcher,Polioptila caerulea
BGNO,Blue-gray Noddy,Anous ceruleus
BGTA,Blue-gray Tanager,Thraupis episcopus
BHHU,Blue-headed Hummingbird,Cyanophaia bicolor
BHEP,Blue-headed Parrot,Pionus menstruus
BHQD,Blue-headed Quail-Dove,Starnoenas cyanocephala
BHVI,Blue-headed Vireo,Vireo solitarius
BTAH,Blue-tailed Hummingbird,Amazilia cyanura
BTRG,Blue-throated Goldentail,Hylocharis eliciae
BTMO,Blue-throated Motmot,Aspatha gularis
BTMG,Blue-throated Mountain-gem,Lampornis clemenciae
BVHU,Blue-vented Hummingbird,Amazilia hoffmanni
BWTE,Blue-winged Teal,Spatula discors
BWWA,Blue-winged Warbler,Vermivora cyanoptera
BLUE,Bluethroat,Cyanecula svecica
BREW,Blyth's Reed Warbler,Acrocephalus dumetorum
BOBF,Boat-billed Flycatcher,Megarynchus pitangua
BBHE,Boat-billed Heron,Cochlearius cochlearius
BTGR,Boat-tailed Grackle,Quiscalus major
BOBO,Bobolink,Dolichonyx oryzivorus
BOWA,Bohemian Waxwing,Bombycilla garrulus
BOGU,Bonaparte's Gull,Chroicocephalus philadelphia
BOPE,Bonin Petrel,Pterodroma hypoleuca
BOCH,Boreal Chickadee,Poecile hudsonicus
BOOW,Boreal Owl,Aegolius funereus
BOSP,Botteri's Sparrow,Peucaea botterii
BOWR,Boucard's Wren,Campylorhynchus jocosus
BREM,Brace's Emerald,Chlorostilbon bracei
BRAM,Brambling,Fringilla montifringilla
BCOF,Bran-colored Flycatcher,Myiophobus fasciatus
BRAC,Brandt's Cormorant,Phalacrocorax penicillatus
BRAN,Brant,Branta bernicla
BRBL,Brewer's Blackbird,Euphagus cyanocephalus
BRSP,Brewer's Sparrow,Spizella breweri
BRQD,Bridled Quail-Dove,Geotrygon mystacea
BRIS,Bridled Sparrow,Peucaea mystacalis
BRTE,Bridled Tern,Onychoprion anaethetus
BRTI,Bridled Titmouse,Baeolophus wollweberi
BRAT,Bright-rumped Attila,Attila spadiceus
BTCU,Bristle-thighed Curlew,Numenius tahitiensis
BBIH,Broad-billed Hummingbird,Cynanthus latirostris
BBMO,Broad-billed Motmot,Electron platyrhynchum
BBIS,Broad-billed Sandpiper,Calidris falcinellus
BBTO,Broad-billed Tody,Todus subulatus
BTHU,Broad-tailed Hummingbird,Selasphorus platycercus
BWHA,Broad-winged Hawk,Buteo platypterus
BRMA,Bronze Mannikin,Spermestes cucullata
BOPT,Bronze-olive Pygmy-Tyrant,Pseudotriccus pelzelni
BTPL,Bronze-tailed Plumeleteer,Chalybura urochrysia
BROC,Bronzed Cowbird,Molothrus aeneus
BRHE,Bronzy Hermit,Glaucis aeneus
BRBO,Brown Booby,Sula leucogaster
BRCR,Brown Creeper,Certhia americana
BRJA,Brown Jay,Psilorhinus morio
BRNO,Brown Noddy,Anous stolidus
BRPE,Brown Pelican,Pelecanus occidentalis
BROS,Brown Shrike,Lanius cristatus
BRTH,Brown Thrasher,Toxostoma rufum
BRTR,Brown Trembler,Cinclocerthia ruficauda
BRVI,Brown Violetear,Colibri delphinae
BBSO,Brown-backed Solitaire,Myadestes occidentalis
BBSC,Brown-billed Scythebill,Campylorhamphus pusillus
BCRF,Brown-capped Rosy-Finch,Leucosticte australis
BCTY,Brown-capped Tyrannulet,Ornithion brunneicapillus
BCAV,Brown-capped Vireo,Vireo leucophrys
BCMA,Brown-chested Martin,Progne tapera
BCFL,Brown-crested Flycatcher,Myiarchus tyrannulus
BHCO,Brown-headed Cowbird,Molothrus ater
BHNU,Brown-headed Nuthatch,Sitta pusilla
BHOP,Brown-hooded Parrot,Pyrilia haematotis
BTPA,Brown-throated Parakeet,Eupsittula pertinax
BRTW,Brownish Twistwing,Cnipodectes subbrunneus
BRYS,Bryan's Shearwater,Puffinus bryani
BBEH,Buff-bellied Hummingbird,Amazilia yucatanensis
BBFL,Buff-breasted Flycatcher,Empidonax fulvifrons
BBSA,Buff-breasted Sandpiper,Calidris subruficollis
BBRW,Buff-breasted Wren,Cantorchilus leucotis
BCNI,Buff-collared Nightjar,Antrostomus ridgwayi
BFFG,Buff-fronted Foliage-gleaner,Philydor rufum
BFQD,Buff-fronted Quail-Dove,Zentrygon costaricensis
BNIB,Buff-necked Ibis,Theristicus caudatus
BURW,Buff-rumped Warbler,Myiothlypis fulvicauda
BTFG,Buff-throated Foliage-gleaner,Automolus ochrolaemus
BTSA,Buff-throated Saltator,Saltator maximus
BUFF,Bufflehead,Bucephala albeola
BUTU,Buffy Tuftedcheek,Pseudocolaptes lawrencii
BCWP,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys
BULS,Buller's Shearwater,Ardenna bulleri
BUOR,Bullock's Oriole,Icterus bullockii
BUPE,Bulwer's Petrel,Bulweria bulwerii
BUHU,Bumblebee Hummingbird,Atthis heloisa
BUOW,Burrowing Owl,Athene cunicularia
BUSH,Bushtit,Psaltriparus minimus
BCRJ,Bushy-crested Jay,Cyanocorax melanocyaneus
CAGS,Cabanis's Ground-Sparrow,Melozone cabanisi
CABW,Cabanis's Wren,Cantorchilus modestus
CACG,Cackling Goose,Branta hutchinsii
CACW,Cactus Wren,Campylorhynchus brunneicapillus
CACO,California Condor,Gymnogyps californianus
CAGN,California Gnatcatcher,Polioptila californica
CAGU,California Gull,Larus californicus
CAQU,California Quail,Callipepla californica
CASJ,California Scrub-Jay,Aphelocoma californica
CATH,California Thrasher,Toxostoma redivivum
CALT,California Towhee,Melozone crissalis
CAHU,Calliope Hummingbird,Selasphorus calliope
CANG,Canada Goose,Branta canadensis
CAJA,Canada Jay,Perisoreus canadensis
CAWA,Canada Warbler,Cardellina canadensis
CAKW,Canebrake Wren,Cantorchilus zeledoni
CAEM,Canivet's Emerald,Chlorostilbon canivetii
CANV,Canvasback,Aythya valisineria
CANT,Canyon Towhee,Melozone fusca
CANW,Canyon Wren,Catherpes mexicanus
CMWA,Cape May Warbler,Setophaga tigrina
CVSH,Cape Verde Shearwater,Calonectris edwardsii
CAHE,Capped Heron,Pilherodius pileatus
CAGR,Carib Grackle,Quiscalus lugubris
CADO,Caribbean Dove,Leptotila jamaicensis
CAEL,Caribbean Elaenia,Elaenia martinica
CAMA,Caribbean Martin,Progne dominicensis
CATA,Carmiol's Tanager,Chlorothraupis carmioli
CACH,Carolina Chickadee,Poecile carolinensis
CAPA,Carolina Parakeet,Conuropsis carolinensis
CARW,Carolina Wren,Thryothorus ludovicianus
CATE,Caspian Tern,Hydroprogne caspia
CACR,Cassia Crossbill,Loxia sinesciuris
CAAU,Cassin's Auklet,Ptychoramphus aleuticus
CAFI,Cassin's Finch,Haemorhous cassinii
CAKI,Cassin's Kingbird,Tyrannus vociferans
CASP,Cassin's Sparrow,Peucaea cassinii
CAVI,Cassin's Vireo,Vireo cassinii
CAEG,Cattle Egret,Bubulcus ibis
CATY,Cattle Tyrant,Machetornis rixosa
CASW,Cave Swallow,Petrochelidon fulva
CEDW,Cedar Waxwing,Bombycilla cedrorum
CAPO,Central American Pygmy-Owl,Glaucidium griseiceps
CERW,Cerulean Warbler,Setophaga cerulea
CHAS,Chapman's Swift,Chaetura chapmani
CHHU,Charming Hummingbird,Amazilia decora
CHAL,Chatham Albatross,Thalassarche eremita
